Entity,Code,Year,14.1.1 - Coastal eutrophication: Total Nitrogen (TN) (kilograms of nitrogen from algae biomass per sq. km. of river basin area per day) - EN_MAR_TN,14.1.1 - Coastal eutrophication: Total Phosphorus (TP) (kilograms of phosphorus from algae biomass per sq. km. of river basin area per day) - EN_MAR_TP
Agulhas Current,,2000,62919.64,1807.42
Agulhas Current,,2001,62228.2,1672.48
Agulhas Current,,2002,48683.93,1215.9
Agulhas Current,,2003,51571.34,1249.18
Agulhas Current,,2004,56124.62,1486.21
Agulhas Current,,2005,46671.9,1116.29
Agulhas Current,,2006,47285.67,1225.19
Agulhas Current,,2007,57628.61,1425.31
Agulhas Current,,2008,48072.62,1194.93
Agulhas Current,,2009,50196.41,1330.18
Agulhas Current,,2010,49495.68,1271.18
Agulhas Current,,2011,49495.68,1550.31
Agulhas Current,,2012,49495.68,1656.24
Agulhas Current,,2013,49495.68,1807.9
Agulhas Current,,2014,49495.68,2142.45
Agulhas Current,,2015,49495.68,1882.9
Aleutian Islands,,2000,10130.04,211.14
Aleutian Islands,,2001,11602.42,263.45
Aleutian Islands,,2002,10675.88,241.57
Aleutian Islands,,2003,11399.9,261.84
Aleutian Islands,,2004,10665.28,242.5
Aleutian Islands,,2005,12576.4,305.46
Aleutian Islands,,2006,11414.87,267.99
Aleutian Islands,,2007,11219.39,262.96
Aleutian Islands,,2008,12237.2,297.11
Aleutian Islands,,2009,11967.9,298.7
Aleutian Islands,,2010,11966.49,268.86
Aleutian Islands,,2011,11966.49,264.43
Aleutian Islands,,2012,11966.5,267.98
Aleutian Islands,,2013,11966.49,276.79
Aleutian Islands,,2014,11966.49,234.74
Aleutian Islands,,2015,11966.49,230.71
Antarctica (Marine),,2000,0,0
Antarctica (Marine),,2001,0,0
Antarctica (Marine),,2002,0,0
Antarctica (Marine),,2003,0,0
Antarctica (Marine),,2004,0,0
Antarctica (Marine),,2005,0,0
Antarctica (Marine),,2006,0,0
Antarctica (Marine),,2007,0,0
Antarctica (Marine),,2008,0,0
Antarctica (Marine),,2009,0,0
Antarctica (Marine),,2010,0,0
Antarctica (Marine),,2011,0,0
Antarctica (Marine),,2012,0,0
Antarctica (Marine),,2013,0,0
Antarctica (Marine),,2014,0,0
Antarctica (Marine),,2015,0,0
Arabian Sea,,2000,86155.74,4247.96
Arabian Sea,,2001,85684.33,4200.67
Arabian Sea,,2002,87676.84,4896.53
Arabian Sea,,2003,97618.16,6202.56
Arabian Sea,,2004,92357.82,5473.88
Arabian Sea,,2005,111082.63,6355.68
Arabian Sea,,2006,108269.54,6532.14
Arabian Sea,,2007,111902.66,6967.82
Arabian Sea,,2008,102066.62,5398.61
Arabian Sea,,2009,103739.95,5480.04
Arabian Sea,,2010,105040.02,6994.28
Arabian Sea,,2011,105040.02,6442.4
Arabian Sea,,2012,105040.02,7093.51
Arabian Sea,,2013,105040.02,8333.07
Arabian Sea,,2014,105040.02,7023.28
Arabian Sea,,2015,105040.02,8231.59
Baltic Sea,,2000,42329.96,863.06
Baltic Sea,,2001,46353.89,892.22
Baltic Sea,,2002,43450.82,884.56
Baltic Sea,,2003,28749.66,632.65
Baltic Sea,,2004,33271.89,718
Baltic Sea,,2005,37169.42,784.01
Baltic Sea,,2006,34076.58,676.38
Baltic Sea,,2007,39159.97,752.83
Baltic Sea,,2008,40959.66,750.4
Baltic Sea,,2009,40677.22,722.22
Baltic Sea,,2010,40937.82,864.19
Baltic Sea,,2011,40937.82,806.59
Baltic Sea,,2012,40937.82,685.68
Baltic Sea,,2013,40937.82,794.69
Baltic Sea,,2014,40937.82,675.31
Baltic Sea,,2015,40937.82,670.5
Barents Sea,,2000,11491.4,207.63
Barents Sea,,2001,9543.3,163.65
Barents Sea,,2002,10142.73,189.8
Barents Sea,,2003,10515.12,196.76
Barents Sea,,2004,10899.45,202.85
Barents Sea,,2005,10832.71,188.74
Barents Sea,,2006,9156.58,167.57
Barents Sea,,2007,11793.25,246.97
Barents Sea,,2008,12028.5,226.51
Barents Sea,,2009,11349.1,210.22
Barents Sea,,2010,11034.35,187.73
Barents Sea,,2011,11034.35,159.1
Barents Sea,,2012,11034.35,149.65
Barents Sea,,2013,11034.35,141.51
Barents Sea,,2014,11034.35,148.03
Barents Sea,,2015,11034.35,197.61
Bay of Bengal,,2000,337684.88,13288.5
Bay of Bengal,,2001,324088.56,12454.79
Bay of Bengal,,2002,332618.72,12672.86
Bay of Bengal,,2003,331899.78,12818.17
Bay of Bengal,,2004,336798.2,12810.23
Bay of Bengal,,2005,325480.03,12148.03
Bay of Bengal,,2006,347917.2,12638.29
Bay of Bengal,,2007,354010.84,12649.05
Bay of Bengal,,2008,355264.3,13332.53
Bay of Bengal,,2009,343216.62,11910.36
Bay of Bengal,,2010,339759.06,13215.24
Bay of Bengal,,2011,339759.06,14832.77
Bay of Bengal,,2012,339759.06,14553.29
Bay of Bengal,,2013,339759.06,16676.42
Bay of Bengal,,2014,339759.03,16402.53
Bay of Bengal,,2015,339759.03,18448.3
Beaufort Sea,,2000,1280.72,47.42
Beaufort Sea,,2001,1670.02,87.15
Beaufort Sea,,2002,1826.27,103.45
Beaufort Sea,,2003,1822,110.4
Beaufort Sea,,2004,1568.64,89.94
Beaufort Sea,,2005,1627.5,97.23
Beaufort Sea,,2006,1808.96,103.97
Beaufort Sea,,2007,1547.73,85.77
Beaufort Sea,,2008,1728.08,99.99
Beaufort Sea,,2009,1533.96,88.43
Beaufort Sea,,2010,1536.89,102.55
Beaufort Sea,,2011,1536.89,68.34
Beaufort Sea,,2012,1536.89,38.46
Beaufort Sea,,2013,1536.89,36.91
Beaufort Sea,,2014,1536.89,57.83
Beaufort Sea,,2015,1536.89,58.2
Benguela Current,,2000,34634.23,537.29
Benguela Current,,2001,41508.21,620.67
Benguela Current,,2002,37815.97,508.54
Benguela Current,,2003,40701.52,509.22
Benguela Current,,2004,38009.96,515.93
Benguela Current,,2005,30901.51,405.87
Benguela Current,,2006,37452.99,556.52
Benguela Current,,2007,41505.6,544.01
Benguela Current,,2008,37344.82,560.9
Benguela Current,,2009,36505.36,556.78
Benguela Current,,2010,36623.5,627.51
Benguela Current,,2011,36623.5,989.23
Benguela Current,,2012,36623.5,1104.57
Benguela Current,,2013,36623.5,1284.37
Benguela Current,,2014,36623.5,1275.59
Benguela Current,,2015,36623.5,1059.41
Black Sea,,2000,91956.53,4707.4
Black Sea,,2001,88210.77,4237
Black Sea,,2002,91858.52,4678.99
Black Sea,,2003,83030.56,4276.14
Black Sea,,2004,98993.65,4780.02
Black Sea,,2005,98548.49,4968.05
Black Sea,,2006,96441.24,4946.51
Black Sea,,2007,78558.83,3877.35
Black Sea,,2008,81519.04,4216.6
Black Sea,,2009,87041.65,4388.14
Black Sea,,2010,89208.63,5056.66
Black Sea,,2011,89208.63,4551.7
Black Sea,,2012,89208.63,4862.39
Black Sea,,2013,89208.63,5242.36
Black Sea,,2014,89208.63,4471.2
Black Sea,,2015,89208.63,4336.2
California Current,,2000,31331.05,1651.56
California Current,,2001,24456.84,1275.88
California Current,,2002,29416.29,1422.52
California Current,,2003,30648.98,1534.01
California Current,,2004,29196.09,1444.84
California Current,,2005,28590.53,1528.49
California Current,,2006,33692.04,1718.48
California Current,,2007,27000.08,1413.29
California Current,,2008,28964.91,1405.24
California Current,,2009,25996.55,1335.5
California Current,,2010,26127.82,1428.12
California Current,,2011,26127.82,1864.02
California Current,,2012,26127.82,1512.1
California Current,,2013,26127.82,1469.71
California Current,,2014,26127.82,1620.17
California Current,,2015,26127.82,1482.11
Canadian Eastern Arctic - West Greenland,,2000,3.55,0
Canadian Eastern Arctic - West Greenland,,2001,3.51,0
Canadian Eastern Arctic - West Greenland,,2002,3.5,0
Canadian Eastern Arctic - West Greenland,,2003,3.5,0
Canadian Eastern Arctic - West Greenland,,2004,3.49,0
Canadian Eastern Arctic - West Greenland,,2005,3.49,0
Canadian Eastern Arctic - West Greenland,,2006,3.48,0
Canadian Eastern Arctic - West Greenland,,2007,3.48,0
Canadian Eastern Arctic - West Greenland,,2008,3.47,0
Canadian Eastern Arctic - West Greenland,,2009,3.46,0
Canadian Eastern Arctic - West Greenland,,2010,3.46,0
Canadian Eastern Arctic - West Greenland,,2011,3.46,0
Canadian Eastern Arctic - West Greenland,,2012,3.46,0
Canadian Eastern Arctic - West Greenland,,2013,3.46,0
Canadian Eastern Arctic - West Greenland,,2014,3.46,0
Canadian Eastern Arctic - West Greenland,,2015,3.46,0
Canadian High Arctic - North Greenland,,2000,1900.91,21.93
Canadian High Arctic - North Greenland,,2001,1970.41,25.33
Canadian High Arctic - North Greenland,,2002,1877.47,24.15
Canadian High Arctic - North Greenland,,2003,1804.84,22.19
Canadian High Arctic - North Greenland,,2004,1903.3,24.51
Canadian High Arctic - North Greenland,,2005,1861.56,23.08
Canadian High Arctic - North Greenland,,2006,1880.31,22.75
Canadian High Arctic - North Greenland,,2007,1559.37,17.29
Canadian High Arctic - North Greenland,,2008,1655.51,18.02
Canadian High Arctic - North Greenland,,2009,1684.66,18.81
Canadian High Arctic - North Greenland,,2010,1723.05,19.44
Canadian High Arctic - North Greenland,,2011,1723.06,31.82
Canadian High Arctic - North Greenland,,2012,1723.05,28.91
Canadian High Arctic - North Greenland,,2013,1723.05,28.51
Canadian High Arctic - North Greenland,,2014,1723.05,24.57
Canadian High Arctic - North Greenland,,2015,1723.05,23.43
Canary Current,,2000,13035.77,488.03
Canary Current,,2001,13645.34,469.17
Canary Current,,2002,15265.55,712.81
Canary Current,,2003,15885.17,788.08
Canary Current,,2004,15702.67,702.78
Canary Current,,2005,15669.24,579.15
Canary Current,,2006,17571.93,794.1
Canary Current,,2007,15042.08,563.44
Canary Current,,2008,15310,620.97
Canary Current,,2009,17092.55,868.57
Canary Current,,2010,17185.03,1101.63
Canary Current,,2011,17185.03,745.32
Canary Current,,2012,17185.03,602.99
Canary Current,,2013,17185.03,955.56
Canary Current,,2014,17185.03,752.66
Canary Current,,2015,17185.03,616.89
Caribbean Sea,,2000,117290.84,2399.24
Caribbean Sea,,2001,105502.05,2031.49
Caribbean Sea,,2002,117552.51,2446.53
Caribbean Sea,,2003,100911.6,2049.14
Caribbean Sea,,2004,120218.5,2546.43
Caribbean Sea,,2005,125726.45,2790.8
Caribbean Sea,,2006,120301.7,2645.38
Caribbean Sea,,2007,124033.52,2771.72
Caribbean Sea,,2008,125005.75,2803.4
Caribbean Sea,,2009,110077.89,2420.15
Caribbean Sea,,2010,106919.3,3066.54
Caribbean Sea,,2011,106919.31,3341.03
Caribbean Sea,,2012,106919.3,2865.02
Caribbean Sea,,2013,106919.29,3258.24
Caribbean Sea,,2014,106919.29,2878.97
Caribbean Sea,,2015,106919.29,2875.13
Celtic-Biscay Shelf,,2000,97104.66,2619.58
Celtic-Biscay Shelf,,2001,102517.76,3056.89
Celtic-Biscay Shelf,,2002,78565.76,2228.3
Celtic-Biscay Shelf,,2003,79717.2,2497.37
Celtic-Biscay Shelf,,2004,80292.4,2391.36
Celtic-Biscay Shelf,,2005,68323.05,1987.43
Celtic-Biscay Shelf,,2006,74298.46,2080.4
Celtic-Biscay Shelf,,2007,87778.55,2343.31
Celtic-Biscay Shelf,,2008,81315.69,2086.68
Celtic-Biscay Shelf,,2009,71799.13,1991.5
Celtic-Biscay Shelf,,2010,71725.2,1993
Celtic-Biscay Shelf,,2011,71725.2,2259.15
Celtic-Biscay Shelf,,2012,71725.2,2118.58
Celtic-Biscay Shelf,,2013,71725.2,2508.51
Celtic-Biscay Shelf,,2014,71725.2,1909.04
Celtic-Biscay Shelf,,2015,71725.2,1965.27
Central Arctic,,2000,0,0
Central Arctic,,2001,0,0
Central Arctic,,2002,0,0
Central Arctic,,2003,0,0
Central Arctic,,2004,0,0
Central Arctic,,2005,0,0
Central Arctic,,2006,0,0
Central Arctic,,2007,0,0
Central Arctic,,2008,0,0
Central Arctic,,2009,0,0
Central Arctic,,2010,0,0
Central Arctic,,2011,0,0
Central Arctic,,2012,0,0
Central Arctic,,2013,0,0
Central Arctic,,2014,0,0
Central Arctic,,2015,0,0
East Bering Sea,,2000,6114.02,230
East Bering Sea,,2001,7135.9,291.48
East Bering Sea,,2002,6527.78,287.8
East Bering Sea,,2003,6564.52,309.4
East Bering Sea,,2004,6452.42,282.85
East Bering Sea,,2005,7521.84,342.07
East Bering Sea,,2006,7240.41,334.32
East Bering Sea,,2007,6616.39,303.74
East Bering Sea,,2008,7151.69,342.95
East Bering Sea,,2009,7166.92,327.26
East Bering Sea,,2010,7179.18,259.02
East Bering Sea,,2011,7179.18,237.47
East Bering Sea,,2012,7179.18,195.21
East Bering Sea,,2013,7179.19,183.14
East Bering Sea,,2014,7179.18,227.7
East Bering Sea,,2015,7179.18,259.08
East Brazil Shelf,,2000,50380.97,1111.48
East Brazil Shelf,,2001,43818.64,973.67
East Brazil Shelf,,2002,48350.74,1100.04
East Brazil Shelf,,2003,45620.96,996.51
East Brazil Shelf,,2004,54783.25,1332.03
East Brazil Shelf,,2005,53700.52,1274.24
East Brazil Shelf,,2006,53332.51,1282.05
East Brazil Shelf,,2007,49627.94,1159.42
East Brazil Shelf,,2008,50417.66,1195.73
East Brazil Shelf,,2009,59303.83,1418.7
East Brazil Shelf,,2010,57439.57,1131.4
East Brazil Shelf,,2011,57439.57,1254.55
East Brazil Shelf,,2012,57439.56,1133.6
East Brazil Shelf,,2013,57439.56,1372.25
East Brazil Shelf,,2014,57439.56,1312.17
East Brazil Shelf,,2015,57439.56,1360.58
East Central Australian Shelf,,2000,4261.65,137.21
East Central Australian Shelf,,2001,4578.82,139.29
East Central Australian Shelf,,2002,3251.54,86.23
East Central Australian Shelf,,2003,3560.64,102.99
East Central Australian Shelf,,2004,3628.02,115.77
East Central Australian Shelf,,2005,4553.02,114.93
East Central Australian Shelf,,2006,3463.7,106.25
East Central Australian Shelf,,2007,3535.65,103.46
East Central Australian Shelf,,2008,5281.73,175.48
East Central Australian Shelf,,2009,5401.45,170.25
East Central Australian Shelf,,2010,5359.46,141.45
East Central Australian Shelf,,2011,5359.46,192.2
East Central Australian Shelf,,2012,5359.47,130.84
East Central Australian Shelf,,2013,5359.47,229.21
East Central Australian Shelf,,2014,5359.47,256.62
East Central Australian Shelf,,2015,5359.47,225.71
East China Sea,,2000,73657.62,1834.35
East China Sea,,2001,72870.18,1912.42
East China Sea,,2002,76113.41,1949.63
East China Sea,,2003,78139.16,2134.04
East China Sea,,2004,69699.83,1913.2
East China Sea,,2005,84879.87,2236.58
East China Sea,,2006,87564.41,2365.03
East China Sea,,2007,77984.23,2227.81
East China Sea,,2008,81191.35,2381.01
East China Sea,,2009,81650.9,2389.58
East China Sea,,2010,81970.33,2769.56
East China Sea,,2011,81970.32,2643.49
East China Sea,,2012,81970.33,2821.74
East China Sea,,2013,81970.33,2794.11
East China Sea,,2014,81970.33,2840.66
East China Sea,,2015,81970.33,2906.73
East Siberian Sea,,2000,4573.98,254.18
East Siberian Sea,,2001,3807.4,222.47
East Siberian Sea,,2002,4717.96,257.42
East Siberian Sea,,2003,3537.97,199.78
East Siberian Sea,,2004,5019.36,276.76
East Siberian Sea,,2005,4478.86,245.7
East Siberian Sea,,2006,4537.05,257.21
East Siberian Sea,,2007,4708.41,265.51
East Siberian Sea,,2008,4536.51,266.77
East Siberian Sea,,2009,3378.27,241.89
East Siberian Sea,,2010,3368.69,252.93
East Siberian Sea,,2011,3368.69,257.72
East Siberian Sea,,2012,3368.69,280.88
East Siberian Sea,,2013,3368.69,274.96
East Siberian Sea,,2014,3368.69,276.49
East Siberian Sea,,2015,3368.69,292.41
Faroe Plateau,,2000,234.41,8.7
Faroe Plateau,,2001,252.43,10.25
Faroe Plateau,,2002,248.89,9.58
Faroe Plateau,,2003,234.64,10.24
Faroe Plateau,,2004,204.21,7.53
Faroe Plateau,,2005,260.64,9.83
Faroe Plateau,,2006,254.5,9.73
Faroe Plateau,,2007,228.17,8.53
Faroe Plateau,,2008,236.28,8.23
Faroe Plateau,,2009,260.69,8.78
Faroe Plateau,,2010,268.53,9.69
Faroe Plateau,,2011,268.53,8.6
Faroe Plateau,,2012,268.53,7.86
Faroe Plateau,,2013,268.53,8.07
Faroe Plateau,,2014,268.53,7.99
Faroe Plateau,,2015,268.53,7.93
Greenland Sea,,2000,2699.86,130.96
Greenland Sea,,2001,2595.82,129.36
Greenland Sea,,2002,3018.07,157.08
Greenland Sea,,2003,2992.2,150.27
Greenland Sea,,2004,2999.96,157.73
Greenland Sea,,2005,2880.81,137.12
Greenland Sea,,2006,2920.1,146.54
Greenland Sea,,2007,3249.4,150.29
Greenland Sea,,2008,3104.36,153.93
Greenland Sea,,2009,2821.51,150.43
Greenland Sea,,2010,2978.15,132.8
Greenland Sea,,2011,2978.15,130.09
Greenland Sea,,2012,2978.15,122.25
Greenland Sea,,2013,2978.15,126.18
Greenland Sea,,2014,2978.15,145.71
Greenland Sea,,2015,2978.15,130.48
Guinea Current,,2000,85185.81,1638.8
Guinea Current,,2001,79231.58,1486.36
Guinea Current,,2002,79513.53,1534.31
Guinea Current,,2003,86219.96,1675.48
Guinea Current,,2004,83403.77,1659.04
Guinea Current,,2005,83205.47,1542.3
Guinea Current,,2006,85048.02,1627.32
Guinea Current,,2007,87350.71,1726.55
Guinea Current,,2008,88077.39,1701.1
Guinea Current,,2009,89459.18,1709.07
Guinea Current,,2010,89599.05,1761.58
Guinea Current,,2011,89599.05,1924.96
Guinea Current,,2012,89599.05,1982.36
Guinea Current,,2013,89599.05,2116.89
Guinea Current,,2014,89599.05,2161.62
Guinea Current,,2015,89599.05,2069.14
Gulf of Alaska,,2000,14818.16,885.71
Gulf of Alaska,,2001,14357.6,859.52
Gulf of Alaska,,2002,15058.79,902.09
Gulf of Alaska,,2003,14595.9,865.01
Gulf of Alaska,,2004,15055.72,888.19
Gulf of Alaska,,2005,16324.86,1009.04
Gulf of Alaska,,2006,14319.84,847.76
Gulf of Alaska,,2007,15656.05,980.09
Gulf of Alaska,,2008,14257.38,879.65
Gulf of Alaska,,2009,14937.86,890.66
Gulf of Alaska,,2010,14788.25,876.22
Gulf of Alaska,,2011,14788.25,949.11
Gulf of Alaska,,2012,14788.25,950.09
Gulf of Alaska,,2013,14788.24,956.76
Gulf of Alaska,,2014,14788.24,924.99
Gulf of Alaska,,2015,14788.24,985.08
Gulf of California,,2000,6231.81,116.49
Gulf of California,,2001,6062.73,114.44
Gulf of California,,2002,4054.15,45.43
Gulf of California,,2003,5754.21,124.32
Gulf of California,,2004,5717.25,134.52
Gulf of California,,2005,6289.01,157.04
Gulf of California,,2006,7219.92,150.12
Gulf of California,,2007,6069.97,114.59
Gulf of California,,2008,6737.59,148.29
Gulf of California,,2009,6488.37,115.06
Gulf of California,,2010,6480.03,116.42
Gulf of California,,2011,6480.03,105.59
Gulf of California,,2012,6480.03,154.07
Gulf of California,,2013,6480.03,166.97
Gulf of California,,2014,6480.03,132.63
Gulf of California,,2015,6480.03,193.09
Gulf of Mexico,,2000,49341.2,2631.95
Gulf of Mexico,,2001,65923.84,3331.9
Gulf of Mexico,,2002,62783.69,3348.18
Gulf of Mexico,,2003,74218.05,3321.23
Gulf of Mexico,,2004,67382.05,3652.86
Gulf of Mexico,,2005,68805.36,3682.81
Gulf of Mexico,,2006,53633.05,2764.48
